time,value
2019-08-30 19:07:21.293,7862.6772
2019-08-30 19:07:21.296,7862.6772
2019-08-30 19:07:32.762,7864.573
2019-08-30 19:07:44.222,7862.6772
2019-08-30 19:07:55.683,7864.573
2019-08-30 19:08:07.144,7864.573
2019-08-30 19:08:07.147,7864.573
2019-08-30 19:08:18.606,7866.473
2019-08-30 19:08:18.609,7866.473
2019-08-30 19:08:30.069,7864.573
2019-08-30 19:08:41.527,7865.5244
2019-08-30 19:09:04.455,7863.625
2019-08-30 19:09:15.923,7864.5737
2019-08-30 19:09:50.329,7863.625
2019-08-30 19:10:01.793,7863.6255
2019-08-30 19:10:13.263,7863.625
2019-08-30 19:10:47.668,7862.6777
2019-08-30 19:10:59.129,7863.625
2019-08-30 19:11:22.054,7862.6777
2019-08-30 19:11:33.527,7862.6777
2019-08-30 19:11:44.986,7865.525
2019-08-30 19:11:56.453,7860.7812
2019-08-30 19:11:56.456,7860.7812
2019-08-30 19:12:19.394,7862.6777
2019-08-30 19:12:30.856,7862.6777
2019-08-30 19:12:53.794,7862.6777
2019-08-30 19:13:05.269,7864.574
2019-08-30 19:13:28.215,7862.6777
2019-08-30 19:13:39.683,7863.6255
2019-08-30 19:13:51.150,7862.678
2019-08-30 19:14:02.615,7861.729
2019-08-30 19:14:48.497,7862.6787
2019-08-30 19:14:59.965,7862.6787
2019-08-30 19:15:11.432,7863.6265
2019-08-30 19:15:22.904,7862.679
2019-08-30 19:15:34.377,7862.679
2019-08-30 19:15:45.845,7863.6265
2019-08-30 19:15:57.322,7862.6787
2019-08-30 19:16:08.799,7862.6787
2019-08-30 19:16:08.802,7862.6787
2019-08-30 19:16:43.215,7862.679
2019-08-30 19:16:54.681,7862.6797
2019-08-30 19:17:29.090,7861.731
2019-08-30 19:17:40.555,7863.6274
2019-08-30 19:17:52.032,7862.6797
2019-08-30 19:17:52.035,7862.6797
2019-08-30 19:18:14.979,7863.6274
2019-08-30 19:18:26.454,7862.6797
2019-08-30 19:18:37.926,7860.7837
2019-08-30 19:18:37.929,7860.7837
2019-08-30 19:18:49.406,7861.7314
2019-08-30 19:19:00.887,7861.7314
2019-08-30 19:19:12.362,7861.7314
2019-08-30 19:19:23.833,7863.628
2019-08-30 19:19:46.775,7861.7314
2019-08-30 19:19:58.246,7861.732
2019-08-30 19:19:58.249,7861.732
2019-08-30 19:20:09.726,7860.7837
2019-08-30 19:20:21.197,7862.6807
2019-08-30 19:20:21.200,7862.6807
2019-08-30 19:20:32.668,7863.6284
2019-08-30 19:20:44.147,7862.681
2019-08-30 19:20:44.150,7862.681
2019-08-30 19:20:55.625,7862.6807
2019-08-30 19:21:07.099,7862.681
2019-08-30 19:21:18.577,7861.7324
2019-08-30 19:21:30.051,7861.7324
2019-08-30 19:21:41.527,7863.6294
2019-08-30 19:21:53.002,7861.7324
2019-08-30 19:22:38.904,7860.785
2019-08-30 19:22:50.378,7862.682
2019-08-30 19:23:01.853,7862.6826
2019-08-30 19:23:13.328,7862.682
2019-08-30 19:23:24.808,7861.734
2019-08-30 19:23:36.288,7862.682
2019-08-30 19:23:59.248,7861.734
2019-08-30 19:24:10.736,7859.838
2019-08-30 19:24:33.696,7862.6826
2019-08-30 19:24:45.179,7859.838
2019-08-30 19:25:08.142,7860.787
2019-08-30 19:25:19.618,7861.7344
2019-08-30 19:25:42.574,7860.787
2019-08-30 19:25:54.061,7860.787
2019-08-30 19:26:05.537,7861.735
2019-08-30 19:26:17.018,7860.787
2019-08-30 19:26:28.500,7858.89
2019-08-30 19:26:39.988,7859.8394
2019-08-30 19:27:02.948,7859.8394
2019-08-30 19:27:14.431,7860.7876
2019-08-30 19:27:25.918,7860.788
2019-08-30 19:27:48.894,7861.736
2019-08-30 19:28:00.370,7859.84
2019-08-30 19:28:11.842,7860.788
2019-08-30 19:28:23.318,7859.8403
2019-08-30 19:28:46.273,7859.8403
2019-08-30 19:28:57.741,7860.7886
2019-08-30 19:28:57.744,7860.7886
2019-08-30 19:29:09.222,7860.7886
2019-08-30 19:29:20.702,7857.944
2019-08-30 19:29:32.190,7859.8403
2019-08-30 19:29:43.672,7858.8916
2019-08-30 19:29:55.158,7860.7886
2019-08-30 19:30:18.130,7857.9443
2019-08-30 19:30:18.133,7857.9443
2019-08-30 19:30:29.618,7859.8413
2019-08-30 19:30:41.105,7859.8413
2019-08-30 19:30:41.108,7859.8413
2019-08-30 19:30:52.590,7858.892
2019-08-30 19:31:04.068,7859.8413
2019-08-30 19:31:04.071,7859.8413
2019-08-30 19:31:15.545,7859.8413
2019-08-30 19:31:27.031,7860.7896
2019-08-30 19:31:27.034,7860.7896
2019-08-30 19:31:38.518,7859.8413
2019-08-30 19:31:38.521,7859.8413
2019-08-30 19:32:01.498,7858.893
2019-08-30 19:32:12.992,7858.893
2019-08-30 19:32:24.481,7858.893
2019-08-30 19:32:35.968,7860.79
2019-08-30 19:32:47.454,7858.893
2019-08-30 19:32:58.932,7859.842
2019-08-30 19:32:58.935,7859.842
2019-08-30 19:33:10.422,7856.0493
2019-08-30 19:33:21.913,7857.9453
2019-08-30 19:33:33.394,7859.8423
2019-08-30 19:33:44.873,7859.8423
2019-08-30 19:33:56.359,7858.8936
2019-08-30 19:33:56.362,7858.8936
2019-08-30 19:34:07.843,7858.8936
2019-08-30 19:34:30.824,7856.9976
2019-08-30 19:34:42.310,7858.8936
2019-08-30 19:34:53.797,7859.8423
2019-08-30 19:34:53.800,7859.8423
2019-08-30 19:35:05.289,7859.843
2019-08-30 19:35:16.778,7858.894
2019-08-30 19:35:28.260,7858.8945
2019-08-30 19:35:28.263,7858.8945
2019-08-30 19:35:39.750,7856.998
2019-08-30 19:36:14.228,7860.7915
2019-08-30 19:36:25.722,7859.8433
2019-08-30 19:36:37.213,7857.947
2019-08-30 19:37:00.186,7856.998
2019-08-30 19:37:00.189,7856.998
2019-08-30 19:37:23.168,7858.8955
2019-08-30 19:37:34.655,7857.9478
2019-08-30 19:37:34.658,7857.9478
2019-08-30 19:37:46.147,7856.999
2019-08-30 19:37:57.641,7857.9478
2019-08-30 19:38:09.135,7855.103
2019-08-30 19:38:55.111,7857.948
2019-08-30 19:39:18.103,7858.896
2019-08-30 19:39:41.088,7857.948
2019-08-30 19:39:41.093,7857.948
2019-08-30 19:39:52.576,7857.9487
2019-08-30 19:39:52.579,7857.9487
2019-08-30 19:40:04.066,7857.949
2019-08-30 19:40:15.561,7857.0
2019-08-30 19:40:27.057,7856.9995
2019-08-30 19:40:38.551,7858.897
2019-08-30 19:41:01.542,7857.0005
2019-08-30 19:41:24.533,7858.897
2019-08-30 19:41:36.028,7856.053
2019-08-30 19:41:47.525,7857.0005
2019-08-30 19:41:59.026,7858.8975
2019-08-30 19:42:10.525,7853.2085
2019-08-30 19:42:22.025,7856.053
2019-08-30 19:42:33.517,7853.2085
2019-08-30 19:42:33.520,7853.2085
2019-08-30 19:42:45.014,7857.9497
2019-08-30 19:42:56.509,7857.0015
2019-08-30 19:43:08.005,7856.0537
2019-08-30 19:43:08.008,7856.0537
2019-08-30 19:43:19.500,7857.0015
2019-08-30 19:43:30.997,7856.0537
2019-08-30 19:43:42.498,7855.106
2019-08-30 19:43:53.999,7856.054
2019-08-30 19:43:54.002,7856.054
2019-08-30 19:44:05.493,7856.054
2019-08-30 19:44:05.496,7856.054
2019-08-30 19:44:16.992,7857.002
2019-08-30 19:44:28.489,7855.1064
2019-08-30 19:44:39.979,7856.0547
2019-08-30 19:44:51.478,7856.054
2019-08-30 19:45:02.973,7856.0547
2019-08-30 19:45:14.469,7856.0547
2019-08-30 19:45:14.472,7856.0547
2019-08-30 19:45:25.963,7855.1064
2019-08-30 19:45:25.966,7855.1064
2019-08-30 19:45:37.462,7856.055
2019-08-30 19:45:48.962,7856.055
2019-08-30 19:46:00.460,7856.0557
2019-08-30 19:46:11.956,7855.1074
2019-08-30 19:46:23.456,7855.107
2019-08-30 19:46:34.963,7853.2104
2019-08-30 19:46:46.462,7854.159
2019-08-30 19:46:57.966,7856.0557
2019-08-30 19:47:09.471,7857.0034
2019-08-30 19:47:20.971,7855.1074
2019-08-30 19:47:20.974,7855.1074
2019-08-30 19:47:32.479,7856.0557
2019-08-30 19:47:43.988,7855.1074
2019-08-30 19:47:55.489,7856.056
2019-08-30 19:48:06.985,7856.056
2019-08-30 19:48:18.484,7854.1597
2019-08-30 19:48:18.489,7854.1597
2019-08-30 19:48:29.988,7854.1597
2019-08-30 19:48:41.486,7853.2114
2019-08-30 19:48:52.993,7853.2114
2019-08-30 19:49:04.496,7853.2114
2019-08-30 19:49:15.995,7854.16
2019-08-30 19:49:39.009,7853.2114
2019-08-30 19:49:50.516,7855.1084
2019-08-30 19:50:02.017,7853.2124
2019-08-30 19:50:02.020,7853.2124
2019-08-30 19:50:13.524,7853.212
2019-08-30 19:50:25.030,7854.1606
2019-08-30 19:50:25.033,7854.1606
2019-08-30 19:50:36.539,7854.1606
2019-08-30 19:51:11.041,7854.1606
2019-08-30 19:51:34.043,7855.109
2019-08-30 19:51:45.547,7855.109
2019-08-30 19:51:57.054,7855.109
2019-08-30 19:52:08.557,7854.161
2019-08-30 19:52:20.061,7853.2124
2019-08-30 19:52:31.565,7854.1616
2019-08-30 19:52:43.074,7854.1616
2019-08-30 19:52:54.580,7852.264
2019-08-30 19:53:06.087,7855.11
2019-08-30 19:53:17.587,7854.1616
2019-08-30 19:53:40.597,7855.11
2019-08-30 19:53:52.101,7853.2134
2019-08-30 19:54:03.595,7853.2134
2019-08-30 19:54:26.600,7853.214
2019-08-30 19:54:49.607,7852.265
2019-08-30 19:55:24.140,7854.1626
2019-08-30 19:55:35.644,7852.2656
2019-08-30 19:55:58.667,7853.215
2019-08-30 19:56:10.178,7853.215
2019-08-30 19:56:21.683,7852.266
2019-08-30 19:56:33.196,7853.215
2019-08-30 19:56:56.214,7852.2666
2019-08-30 19:57:19.230,7852.2666
2019-08-30 19:57:30.741,7853.2153
2019-08-30 19:57:42.241,7852.2666
2019-08-30 19:58:39.809,7851.3193
2019-08-30 19:59:02.841,7852.2676
2019-08-30 19:59:14.355,7849.4233
2019-08-30 19:59:25.867,7852.2676
2019-08-30 19:59:37.369,7849.4233
2019-08-30 19:59:37.374,7849.4233
2019-08-30 19:59:48.873,7850.3716
2019-08-30 20:00:00.373,7851.3203
2019-08-30 20:00:11.881,7853.217
2019-08-30 20:00:23.381,7852.268
2019-08-30 20:00:23.384,7852.268
2019-08-30 20:00:57.904,7849.4243
2019-08-30 20:01:09.415,7852.2686
2019-08-30 20:01:09.418,7852.2686
2019-08-30 20:01:20.921,7851.321
2019-08-30 20:01:32.435,7849.4243
2019-08-30 20:01:43.951,7852.2686
2019-08-30 20:01:55.466,7851.3213
